"HolderAddress","Balance","PendingBalanceUpdate"
"0x03253326faaeea57616aa62aaf4f7ecc2b657e56","2419385.15728979","No"
"0x036d73adbc9fa78757420a58cb4a8bbf3509f0ab","4147346.91912109","No"
"0x0371cac704cf9450e31b0469f37d0f83af37c3a1","6214477.58917333","No"
"0x07048957f0a4a4fa16f368240b31e17b55b23d2f","1704314.96815485","No"
"0x0757eb0f44f3f9239dc8ff0112af57d4b30d435e","2807311.94615366","No"
"0x087a05e34842b49974c06d046b0bbb95102c7899","4799.89197136965","No"
"0x095ad7abfd8870e03ac7b6592982fd8c51661b28","3835557.42983704","No"
"0x099d2e2c41887c3bca4eb34f8019eccff3497d91","3068445.94386963","No"
"0x09c203e90a00c2fe090b5cfaae12194113a5fb36","14464.0880225519","No"
"0x0afdf7757b805bcf826ed193dfda5e83532b942b","30453.6733312314","No"
"0x0b12b14c7d0778115149fdf523bf2aeaaf64247d","7671114.85967407","No"
"0x0b907488d1f25f61ea7cc0c8228a57bfee74b029","20010864.1645818","No"
"0x0d5c0cd9e1f1c315b1aedfe4c5ddc677e082f1aa","80860863.9133651","No"
"0x0e03132f90c06c8f367e84fa76753eebe8a22e0f","17381.4606621694","No"
"0x0e6c9bad29314e8676c18721f450cba2e0e9ffc3","10.2083310353789","No"
"0x0efb322a9b425a6b319059c1cceb1da03c328720","2431154.87406577","No"
"0x0f5f60ad3e43839d6b9d4a6d1d8eded24db73c32","6091323.6591876","No"
"0x106a2f2674c8a0c33b712b35d16166364fd6aacf","4509423.22726518","No"
"0x10eb4e9657c1502a2f6c593f0ca6910f4c585bc8","260192.046287401","No"
"0x117fb889a01b9cb614b4164599f960bb116c654a","7756.2098455463","No"
"0x1576bed421089e282fbf9f5544b300ac97236aea","11024.5627223968","No"
"0x1638e402a06c454b8426d987079e908dfc106409","10000000","No"
"0x1691102fa820206b934fee8306a2e1c040c7ed65","1","No"
"0x176e2042a510d00aa69aa02e5f24d438cc6d8ab2","7621.20611572151","No"
"0x199e325a45b92e6ba1669e51b3977b257cd104db","0.558404512725188","No"
"0x1afae95be6720bba7d1bd0fc2f9c9560f04ecec3","2624292.1736978","No"
"0x1b90364513747b2295fdc708f255e1539c49e8ec","297500","No"
"0x1bcb6f956830e58072f5f60481d765b08d574682","19693910.0096727","No"
"0x1cb00c899a990d16eaeb9c6ebf87951a17cd1239","3366417.86132133","No"
"0x1d8e4ea876b434ccec2947e403876ace1cb1f997","149411.49563273","No"
"0x1f43719878e9a2a71ebe2af6dbc73847f54bd95f","6313327.52951176","No"
"0x20be7bc2cc357feab40cd8c29d9d9db8f85ab001","5140115.88626824","No"
"0x20c27c130155685070a7bf3cfe7084e70e06bf64","1000000","No"
"0x2149b934f960250d415c83f65f56d47ce34edbf1","11506672.2895111","No"
"0x22b32f4743364aaed06edee8bb7131e43bcc4f71","10000000","No"
"0x23603674760c3c69680879705048f792378accab","7526185.09847618","No"
"0x261a5c7389990fa233351295de5865ddf783f3ba","10000000","No"
"0x27eb8df758ec325080cba98736918975aa5ba7d9","7671114.85967407","No"
"0x2bf92a510246e92a591075c5decdbe81918fd1fd","139091.627727713","No"
"0x2cfee87045f3a30be35ae9307cd5a9e69f4ed8c9","38504.7940675267","No"
"0x2dd38210eb4652a3f335caa2192db7147d2f66ea","360.984250499718","No"
"0x2ddbb811f1b310efc1d7c31b426f82d6dcf584f4","11242770.8907886","No"
"0x2eb7e3390b63cf207f20299596cf21ea47b90812","10668655.1017276","No"
"0x2fae017b78089954b0298abeab763bfa16973573","56081.5735873538","No"
"0x3055e4050c0e1bc79352c0c9469560491e7b1758","9149180.6439987","No"
"0x3099c90439c8fff58ef3e2469e09c262b3e87242","1219893.37741647","No"
"0x324f610a65749cbea2aebe8764b957ffe787e044","6416005.88531236","No"
"0x32d152ca82cb16aeb7a6de89c6162199f34afabe","25.0390219789129","No"
"0x32d3e8a23e5c0fc025b8eab2cc21320f1f1f2e08","11415167.8129457","No"
"0x3321f694d356a6e1778652417ea5d4dc723156d2","569603.382872997","No"
"0x34e5abdc58f1c72eac58f5624fac9c74a6e5cd3b","270.311525984956","No"
"0x355be2957fa80335c5a00608c922ac9c6f158510","939722.637329722","No"
"0x3780e0e52c4e79ae76aebc1773d60618f5f9aacd","181180.226313212","No"
"0x38df03abc2a81d10dff55a7ec982570293536f18","1668421.30718308","No"
"0x392ce3575d0b5a89d795053ec3f2646edb2721e0","2821802.72467842","No"
"0x39b5d0af694251cf76c3b42d0b7a0769e99d0f99","3629944.19251064","No"
"0x39e09f79463913b9f36279ac99bb592530f68158","609.618901048464","No"
"0x3b598e501152806523cb20be7589dd666b4765bd","22619.9166107568","No"
"0x3f6bfb3d01b75f200830ef68f7d2eddf87f907f2","46963.9941852971","No"
"0x4094923e7638d769529cfd4c279f9ea4249583c4","1591.53356063495","No"
"0x414e223ce8f6ba960b3b839786d83820a42786b5","569457.915702397","No"
"0x4390e1a5541b74e7d0bb99e85895f9bad809f41e","0.550119661448182","No"
"0x43b17cc8160b65abce1ad1cbe675b10e5c6a3076","49901.403644979","No"
"0x4407c6cc7075a771519b8d004adcdc786432eb12","8297795.91857505","No"
"0x44de12f50bfde5d72181ab6abf1e0b574bd08cee","16635.2543352672","No"
"0x455295fcea14fe53f66b93a93d8b62765279fbbd","308918.022323648","No"
"0x477a552f2f92c2bc58568063b68033e598a854d7","367694.564061816","No"
"0x47a339171dacb0ae5e3bc6bc7472c8f48b4ac90c","13020085.9244657","No"
"0x49619dd5fe1cac4cd2abb091443d9ec1f6df6de0","3169597.80138733","No"
"0x49b38ee7fd700e545f557e943fc3e4ad31898cb2","771.557972847775","No"
"0x49e9609c8addd1f9d7ecd73e0c2fe853cae0b650","3146591.13007115","No"
"0x4b7ce47f630a2ac8b98b56cfc6fbed183ceaac09","6558010.15582115","No"
"0x4c11227f1180f51d705d8e79fb0226a4276c5a75","3578109.69286797","No"
"0x4cc4b2b59fe5f3a9ef75356020273fa19f8f800b","7944795.46392194","No"
"0x4d7caa2f5c17997cdad9d55500e4f0290137bb21","1492.66103174684","No"
"0x4fae6fcef63f8ce306066f11d6ace338b1a078d1","2423.66466403656","No"
"0x4fc3c187520477f026bdb258a9cad04bea3d9111","551547.778777407","No"
"0x5058faa6c15d1284ef1b992c31940bef36d345ca","320832.384583126","No"
"0x50e78117a798f6596be22b28c4cdd0e69cd04f97","2000000","No"
"0x52c474086d88cf9ceb81adbdac867f56ff54f1db","1762904.52478184","No"
"0x5399f8eb67760c808bcd1d11062338e5450c4e93","85402.6034718671","No"
"0x542ffc9d86729ad0c6e35e4d35b1cd9a584ca8f2","5620202.59860821","No"
"0x556883b817842712ac96f9b370e26d6412b0f7bc","1975466.78114794","No"
"0x56653ed8bab5d927da8e7fdd137509bb62dc5e37","10000000","No"
"0x571c346a3c680888524829339e0b52e25a072365","207173.295749702","No"
"0x57336162e844ca1f926b5b81421cc2391038340a","1692814.83596628","No"
"0x58995532a3e5d22ad54b65a0aa9dd0be22ef1817","17000392.1129505","No"
"0x5a85d52826f4a5acf9260cf0762da128743026ab","85686.7438463275","No"
"0x5ab90c0512bfd1db7019a64635290f232f568b1c","112678.994280348","No"
"0x5acfd914f2dfd41f07f27407bd7936f43d0db167","1128.09937557805","No"
"0x5b11cafa05998ee78e1cf7a4383d94893f804720","61368.9188773926","No"
"0x5be7f088283f145bb0a11edcc5483c5b5efa31a8","6228562.55363407","No"
"0x5d00964a096905bdc1b02305c75b09a280b05a41","773512.562974501","No"
"0x5e9dab0bcdd29b57ccd83a2d3aab7c031fac2bba","24368.8551672463","No"
"0x602c98a77b2acca918428311fee000024596bed8","8.34E-16","No"
"0x60ea7c492bba67921dfd2ff8190079d55d1bc020","517490","No"
"0x637b713ce26e7394bd8475f50ea0464a35078f5d","97545.4398398424","No"
"0x643ddb1e2af0a5c0d4e424719b16cfb62e83ca93","4317402.94368618","No"
"0x6441543c6537ff430f2e1d6fe8fffcfc05d52d04","72793.4888627549","No"
"0x64c4308956b41acde5d3751e3c8b330ece7831b6","16028342.1635838","No"
"0x65e3d8d31df1d342556497d9f894443598216191","407863.237005755","No"
"0x663aa8800067299e1298df78b5a627ed13c83e40","6634.40288407976","No"
"0x6648b5554632ed5d6ec27ec6737e98a0a3dbbc94","11215413.786062","No"
"0x6733fe4c4612f78880d20c920bbbefda8dec8324","248119.049869469","No"
"0x6956d6c526eb7fb0ffe3602bc0a884426af0e513","458502.05331883","No"
"0x6a34c57f82fb2b046e7cfcc4f0a2346b14c21ec1","418498.759433976","No"
"0x6a4753dcdfddb9553068bbf0cc03eac66dfb739e","286269.52830557","No"
"0x6b10e65784de81115123576e461661c5da6586ba","104011.979554934","No"
"0x6bce112813761a607ebee9f6097e7440d6f20158","1105662.76489337","No"
"0x6d15eff7c4d740c4683a23abeb432f0a1b255a12","75676.2474766873","No"
"0x6d7777050e5ce0223822446dcc644769348bd04e","338358.847286432","No"
"0x6e9ca31c4cc4804df5a92a389a7ddd839584b931","165872.810925428","No"
"0x6f48134d8bdeb954ad97525cf0adb9ad446260b1","19028.2194711584","No"
"0x6f70b85339ab9604d9c44173de06a9c233a1d9a7","205782.688914288","No"
"0x7011f2c6a4cb60afb934ff68769cd7c49586fbb0","6904.00337370666","No"
"0x72490231867c22e74d76f7ff9e4359ee0908c44c","338250.775469562","No"
"0x731532cba94a1e27775f9ea6b7970fb6217704a8","2724257.42531676","No"
"0x74ab8b2ba5d1f8165c29d3b9fa68d743ae28fef8","45645.1432133796","No"
"0x7586312be7f6c11e9bf33a0fc8f01c4669ccb34a","7685961.79746297","No"
"0x76029a22a27a194c9ca1740f816475d25aba39dc","167786.854706541","No"
"0x762f5109aaa810a5c342656dc9cf93336ca1c2f4","104276.455680693","No"
"0x7645c8386932029cc3d80c94a2a6657bac6eb821","4585209.23830792","No"
"0x78a13d62d175a45df52b7483679d4fae20367a90","17047.2897463833","No"
"0x7a37450db986a954d050544c02ebd0ab9a8df8a4","49815.6157153265","No"
"0x7b3b279d28a794f016cc7efcaf46fd91b84de7d9","9094655.22642014","No"
"0x7c656f5c4ca86e8420ccc06b25e9367068074ad7","1455634.57245063","No"
"0x7e420f3c687bdc85b2433408ac651e4d1032a7aa","4135753.7622306","No"
"0x7f9857e9caa5fb101db1028b4abc97264f7f7149","236667.844625332","No"
"0x807a078d714a58eda04fe7c98504e8c1e8b2375a","11506.6722895111","No"
"0x828a97fd8a4eb4262557a42ba60cc23da0008c03","139908.483188368","No"
"0x83751d420f438e588261ece6b048c40ee6eb7a47","135225.161122218","No"
"0x838ce76dcc50fd2fa7c5740d9f9ba34f5b835b69","856101.067764359","No"
"0x855246be70485d9fccf91d91bd4050cef60b20cc","7096000","No"
"0x871efe8009404f217bb1f59d6b02282eb6fbc420","65060.6507041022","No"
"0x87ea04970159898c10a1ca526a1cc29d138422ed","14052.4734114119","No"
"0x89a9f6c12255d0fa0ac36b77364da210c3ed7feb","12188398.004882","No"
"0x8bed3736a36b641b0a60cc2cd5e7f78ddb396298","1512184.00318293","No"
"0x8cd9735d8f392074c187615b43b8fd3c9915917e","196985.474522906","No"
"0x8d30cd37bc66fd6f23df934ead53341984959059","1886740.42083709","No"
"0x92282f8f80907baca1a933cc4b01246c7b64ae05","8855188.38230891","No"
"0x922f0bf55fda5048bdd677b953238ba591ceaf33","17007.6162615388","No"
"0x926c5be9a0c755584fef616fcd7d05fb791b05cd","111.485967407165","No"
"0x94d4b3c0a5df4b1f6c4e8ec3f818e7c7c3c92227","178189.85544556","No"
"0x953faa078aefb939082631c8b525d29c2b72ffa7","27650.0750292251","No"
"0x958bbca3775e833bebb96381a7b062d88a8cad9f","64957.6177745987","No"
"0x972239eeb29d59a79c70b06ccdaeafd41ad138eb","55796.2658203557","No"
"0x98ef660ee6a35853aaa03fe1bd359a4cc9960259","39.6743166844296","No"
"0x9a33c542b5676edd08f9466ed7bad1241b6c79c7","2078.49501660337","No"
"0x9ae09e1bd38df1baef10dcf4650f8629990a05b7","6553890.48614586","No"
"0x9b1833ac709094a23248636fdd76d57673493a1f","65204.4763072296","No"
"0x9bb682e843f0af37dea873c60db9549545dc5741","4463728.33210475","No"
"0x9be03b693ddc36c9318ce4c99db0340b11fe3c83","423345.788467256","No"
"0x9ce07462447bb19151fc05cddc1a91911b32a334","0.00087516530608644","No"
"0x9ce12c109867a636aec2d264c55acfc7e16f75d9","7711.7726663081","No"
"0x9df26503366a9a66b4b9711533eabcdef5e8b16a","1409711.49232625","No"
"0x9e49d147e1ae488422db560e3722ad18a23f9110","0.82029383111239","No"
"0x9f26405c5b2cbbfbf3dcdcc286c150ef5292b533","748873.491208495","No"
"0xa14b102951f6ee7bfe7b21c606f8cddb7bd67f10","136765.959629618","No"
"0xa2af46be6b202f2a4f22234531d7844f019ddc15","12238738.4010832","No"
"0xa4b81b25b3b19e4312a777e08641436d504764d6","2542242.57714929","No"
"0xa4d53dddfc93a46fa4240d6203d798eec030d898","47119.5731634215","No"
"0xa58a3968c6ebaa93ba7b1a8c6699bfd38440c395","460987.971117611","No"
"0xa5b33f4372369427e3946965a374b40e7739c940","0.300495922289467","No"
"0xa5ed0ce8087c6ce41677086f7f04df1b7175fa7a","6152.42431459529","No"
"0xa5ff0e7bf95ddb46416049a84fa81073e2b83d5e","41762.9665334551","No"
"0xa7324c8c487fda048363386181b3f7c57ba6263c","293876378.142633","No"
"0xa900ebe0832818e551244dce8e43bd5e06e2149f","345200.168685333","No"
"0xa902d388ebbdd82b0cf466d288a9e80b40bd8a41","2.83E-16","No"
"0xac9c632ac7454ff3f492ca084d5cd20a35e3ddc8","2712352.79208356","No"
"0xad6e6375faa0eec1d725f22c38b84172353fff65","862373.043570653","No"
"0xae354b8f4eeed20b58802f7805c6e7e9af4f991c","701177.39898856","No"
"0xae3a27238528adc8c5683b41906f18adf94932dd","3000857.09824076","No"
"0xae4d7fc0c22050356a23cf2248466dbececb1e5b","7767847.61805456","No"
"0xaf02c7a4b237bd34899ea85609ff6698192ace76","76913.1957151726","No"
"0xb05552c593e00569563ae073a8e86f95bbf7ae29","6145.42994092553","No"
"0xb0a91a9a2f2bc24b4a80d97ca4528182f7d9bf43","394273.215848664","No"
"0xb12b3ce8aedde5d3323c89234385e070d8738110","7614.4141981194","No"
"0xb19a9bea22c51f7e3793dd657af9c1732889de68","26238.0942989712","No"
"0xb2938bd4c7854c0709c2fefefe1284fb24133d19","1.22416259163991","No"
"0xb2dc08266c979b2b0778e993dc176ae5467c10f3","7574382.10129358","No"
"0xb474924ecd96b2184d6aedc03f0b8aa72c738596","5183993.95257801","No"
"0xb67d85512e8cb960371a5ac0d00d75f90085e382","447282.605968263","No"
"0xb7540be527fd6502e6938e2b4b8b529cafd31efe","5620915.42547187","No"
"0xb798ddf40858b8c60aeae51dff4bb60a0589799e","11020652.5145748","No"
"0xb7cb2440b5fd5b9cbecd7e63c4d88d497a6d22fb","30.4715702432586","No"
"0xbaaf9d4f72964691157a498ae9c1c5c759b21fb8","2290961.79682996","No"
"0xbac3338b38304735ef9689e466b4e6186037b851","1578717.46047261","No"
"0xbbcd8169c22b97c97a83f57d0e06bedd2f1dfe60","767111.485967407","No"
"0xbc480ea610844039e1adefb6f3d934e60fd54f50","194654.865300566","No"
"0xbd0fd2a15eff34acc689350f417041c394c6b972","1517344.91379413","No"
"0xbdd8c05e2cce78c78dee2c167057bad826f9ccb6","3199541.90882363","No"
"0xbf9d97ff0c87d1526f92a943d99f1070d8485bbd","455539.20881139","No"
"0xc0de326112298d8104cf56cea459e7c8dbb2e944","246344.217967265","No"
"0xc12e42a9a78d044495a007aab165b6898bf2e606","29941.8997503606","No"
"0xc1439d29435fbd9d13f7bd9cb96c2f7a25dbc94a","3602316.64555061","No"
"0xc30408ef0b9a611e694ab6f0e0163153a92fa9e7","6866018.1376683","No"
"0xc440f73f692531f4fa26c2d92aef9dccd9102fa2","1879161.30140619","No"
"0xc7464ec4e17dac9564580927a76e4d5f7812d350","901810.809677562","No"
"0xc82b77008ec2dfab6cd7cc3823bf74649b3eae09","1537278.2585248","No"
